key,query,doi,score,ts
XGGV9C4X,?query.bibliographic=Progress Report (2015-2017) on the Implementation of Commission Recommendation 2011/711/EU on the digitisation and online accessibility of cultural material and digital preservation&query.bibliographic=2018,10.1163/2210-7975_hrd-0153-2016026,34.895953999999996,1598888191.6436725
L36G5IJN,?query.bibliographic=The DigiCULT Report | Technological landscapes for tomorrow's cultural economy: Unlocking the value of cultural heritage&query.author=Salzburg Research Forschungsgesellschaft mbH&query.bibliographic=2002,10.20292/jcich.2018.26.125,35.594765,1598888194.1235096
W5E5MALL,"?query.bibliographic=Copyrights as Incentives: Did We Just Imagine That?&query.author=Zimmerman, Diane Leenheer&query.bibliographic=2011&query.container-title=Theoretical Inquiries in Law",10.2202/1565-3404.1262,127.800156,1598888200.2137206
B7LCS8W2,"?query.bibliographic=Intellectual Property ""from Below"": Copyright and Capability for Education&query.author=Chon, Margaret&query.bibliographic=2007&query.container-title=University of California Davis Law Review",10.2202/1565-3404.1271,43.758705,1598888210.5649042
EXGRAJ7D,"?query.bibliographic=Creativity and Culture in Copyright Theory&query.author=Cohen, Julie E.&query.bibliographic=2007&query.container-title=University of California Davis Law Review",10.4324/9781315095400-17,56.494896,1598888214.4846597
ZLFDM657,"?query.bibliographic=Artificial Knowing: Gender and the Thinking Machine&query.author=Adam, Alison&query.bibliographic=1998",10.4324/9780203005057,39.699326,1598888215.5080302
9ADNHCLP,"?query.bibliographic=A Philosophy of Intellectual Property&query.author=Drahos, Peter&query.bibliographic=1996",10.22459/pip.06.2016,50.15082,1598888216.6908507
7SQXJK34,"?query.bibliographic=A Tiered Approach to Rights in Traditional Knowledge&query.author=Okediji, Ruth L&query.container-title=Washburn Law Journal",10.1111/j.1467-9930.1996.tb00175.x,26.094847,1598888232.3079035
IPP6CSW4,"?query.bibliographic=Open data at the Swedish National Heritage Board&query.author=Lundqvist, Lars&query.bibliographic=2014&query.container-title=Sharing is Caring: Openness and sharing in the cultural heritage sector",10.1007/978-3-642-20227-8_3,38.548485,1598888234.8660846
TICCMZAE,"?query.bibliographic=Intellectual Property and the Safeguarding of Traditional Cultures: Legal Issues and Practical Options for Museums, Libraries and Archives&query.author=Torsen, Molly; Anderson, Jane&query.bibliographic=2010",10.1093/ajcl/54.1.173,57.62790699999999,1598888237.1862552
BGPJFDRI,,Type not supported,,1598888237.1955905
QGWML3QB,,Type not supported,,1598888237.2035592
4Z9XCC4R,"?query.bibliographic=Cultural Institutions and Website Use Restrictions: Contract or No Contract?&query.author=McBride, Pauline&query.bibliographic=2016&query.container-title=Display At Your Own Risk: An experimental exhibition of digital cultural heritage",10.29085/9781783301539.002,33.19683,1598888239.1549115
92M6G7RB,"?query.bibliographic=On the Author Effect: Contemporary Copyright and Collective Creativity&query.author=Jaszi, Peter&query.bibliographic=1992&query.container-title=Cardozo Arts & Entertainment Law Journal",10.2307/1191777,45.9799,1598888240.8419745
FX56AKB2,"?query.bibliographic=Authors at Work: The Origins of the Work-for-Hire Doctrine&query.author=Fisk, Catherine L.&query.bibliographic=2003&query.container-title=Yale Journal of Law & the Humanities",10.1007/978-1-84457-929-7_10,43.603363,1598888242.217183
7TAZUFC9,"?query.bibliographic=Copyright and Cultural Institutions: Guidelines for Digitization for U.S. Libraries, Archives, and Museums&query.author=Hirtle, Peter B.; Hudson, Emily; Kenyon, Andrew T.&query.bibliographic=2009",10.1353/lac.2002.0012,53.733880000000006,1598888243.6131954
EGCSN6WK,"?query.bibliographic=Accessible America: a history of disability and design&query.author=Williamson, Bess&query.bibliographic=2019",10.5040/9781350070462.ch-00i,44.334465,1598888244.9065824
SGKIGQGG,,Type not supported,,1598888244.9172482
U5VDSRP7,"?query.bibliographic=Measuring the Impact of Digital Resources: The Balanced Value Impact Model&query.author=Tanner, Simon&query.bibliographic=2012",10.1109/digitalheritage.2013.6744724,66.19449,1598888245.9514675
SDLP8SCC,,Type not supported,,1598888245.963005
4AR8Q29S,,Type not supported,,1598888245.9704087
PT64LI6C,,Type not supported,,1598888245.9767122
RGDAAB8C,,Type not supported,,1598888245.9830356
W5QXN4GS,,Type not supported,,1598888245.9893813
PBIAIJDM,,Type not supported,,1598888245.9951828
F5IFT3V4,,Type not supported,,1598888246.0005715
HC2DKDDH,/10.5260/chara.18.2.65,10.5260/chara.18.2.65,,1598888246.7789247
82A6BMEA,"?query.bibliographic=Restricted access: media, disability, and the politics of participation&query.author=Ellcessor, Elizabeth&query.bibliographic=2016",10.18574/nyu/9781479813803.003.0001,81.84036,1598888247.8282864
T43VWP88,"?query.bibliographic=Open a Glam Lab&query.author=Mahey, M.; Al-Abdulla, A.; Ames, S.; Bray, P.; Candela, G.; Chambers, S.; Derven, C.; Dobreva-McPherson, M.; Gasser, K.; Karner, S.; Kokegei, K.; Laursen, D.; Potter, A.; Straube, A.; Wagner, S-C.; Wilms, L.",10.1111/ijlh.12218,38.18675,1598888251.724193
GKLZ8CN9,"?query.bibliographic=ARL White Paper on Wikidata: Opportunities and Recommendations&query.author=Allison-Cassin, Stacy; Armstrong,, Alison; Ayers, Phoebe; Cramer, Tom; Custer, Mark; Lemus-Rojas, Mairelys; McCallum, Sally; Proffitt, Merrilee; Puente, Mark A.; Ruttenberg, Judy; Stinson, Alex&query.bibliographic=2019",10.7710/2162-3309.2272,48.574974,1598888253.2793195
AKAXJ3ZK,/10.1045/march2002-worcman,10.1045/march2002-worcman,,1598888254.1097467
GR5AYPY3,,Type not supported,,1598888254.1223812
HFRVDI7C,"?query.bibliographic=Uses of heritage&query.author=Smith, Laurajane&query.bibliographic=2010",10.4324/9780203602263,48.6433,1598888254.9851403
A2MDLC78,,Type not supported,,1598888254.9961138
C56Q7LF6,,Type not supported,,1598888255.0041938
GN7PAD8Q,,Type not supported,,1598888255.0108802
UBQGME8R,,Type not supported,,1598888255.0174932
BUEZJ9AY,,Type not supported,,1598888255.0236278
U9H7I8XQ,,Type not supported,,1598888255.0294964
MK5E7L2W,/10.1108/OIR-06-2015-0193,10.1108/OIR-06-2015-0193,,1598888255.871624
WNRNU8HD,,Type not supported,,1598888255.8816767
SV3HV63T,,Type not supported,,1598888255.889326
Q3X6Q9HL,?query.bibliographic=DIRECTIVE  (EU)  2019/  790  OF  THE  EUROPEAN  PARLIAMENT  AND  OF  THE  COUNCIL  -  of  17 April  2019  -  on  copyright  and  related  rights  in  the  Digital  Single  Market  and  amending  Directives  96/  9/  EC  and 2001/  29/  EC&query.author=European Commission,10.1007/s40319-013-0086-6,53.49802,1598888256.9196901
L8YVCEH3,"?query.bibliographic=Consent as a Free Pass: Platform Power and the Limits of the Informational Turn&query.author=Bietti, Elettra&query.bibliographic=2019",10.2139/ssrn.3469819,44.471855,1598888257.8012028
6PBZNB68,,Type not supported,,1598888257.813449
TXDW9ADF,"?query.bibliographic=International Law-Making Process in the United Nations: Comparative Analysis of UNCED and UNCLOS III&query.author=Shibata, Akiho&query.bibliographic=1993",10.1163/9789004294288_010,40.282764,1598888258.8108888
ZDR9N7WU,,Type not supported,,1598888258.8200364
UX753IWZ,"?query.bibliographic=The Politics of Mass Digitization&query.author=Thylstrup, Nanna Bonde&query.bibliographic=2018",10.7551/mitpress/11404.001.0001,73.099434,1598888260.5932677
USCBVY5I,"?query.bibliographic=Open Images: Risk or opportunity for art collections in the digital age?&query.author=Sanderhoff, Merete&query.bibliographic=2013&query.container-title=Nordisk Museologi",10.5617/nm.3083,112.24883999999999,1598888261.5499234
ND5YMV23,"?query.bibliographic=Implementation of Commission Recommendation on the digitisation and online accessibility of cultural material and digital preservation&query.author=Anisia-Maria, AVRAM",10.14434/sdh.v3i2.27721,27.418358,1598888262.9660528
DH6SYKDX,"?query.bibliographic=The Myth of European Term Harmonisation: 27 Public Domains for the 27 Member States&query.author=Angelopoulos, Christina&query.bibliographic=2012",10.2139/ssrn.2145862,96.68565,1598888264.2343564
SXV68BLG,,Type not supported,,1598888264.2428749
NPRUPA65,"?query.bibliographic=Museums, Digitization and Copyright Law - Taking Stock and Looking Ahead&query.author=Pessach, Guy&query.bibliographic=2007&query.container-title=The Journal of International Media and Entertainment Law",10.1017/s0021223700013169,49.082138,1598888265.6972795
CU6KWJ8U,"?query.bibliographic=[Networked] Memory Institutions: Social Remembering, Privatization and its Discontents&query.author=Pessach, Guy&query.bibliographic=2008&query.container-title=Cardozo Arts & Ent. L.J.",10.1590/s1677-55382008000400015,19.451164000000002,1598888267.215373
Z394KQRE,/10.5334/jcms.1021217,10.5334/jcms.1021217,,1598888268.0826519
23ZJVIPE,"?query.bibliographic=MKG Collection Online: The Potential of Open Museum Collections&query.author=Schmidt, Antje&query.bibliographic=2017&query.container-title=HJK",Not found,,1598888268.8584824
NRDI2ST9,"?query.bibliographic=The Digitisation of Cultural Heritage: Originality, Derivative Works and (Non) Original Photographs&query.author=Margoni, Thomas&query.bibliographic=2014",10.2139/ssrn.2573137,99.74493000000001,1598888270.207891
R5IZ3BVW,"?query.bibliographic=Embracing the New Disability Rights Paradigm: The Importance of the Convention of the Rights of Persons with Disabilities&query.author=Harpur, Paul&query.container-title=Disability and Society",10.1080/09687599.2012.631794,108.99103999999998,1598888271.210956
AL23UEJ3,,Type not supported,,1598888271.2201905
6RD5G3MG,,Type not supported,,1598888271.2283564
82TGBP9Q,"?query.bibliographic=Decolonization is not a metaphor&query.author=Tuck, Eve; Yang, K. Wayne&query.bibliographic=2012&query.container-title=Decolonization: Indigeneity, Education & Society",10.1080/13562517.2011.611870,22.739674,1598888272.421599
M76X2CEA,,Type not supported,,1598888272.4337742
822KQKH5,"?query.bibliographic=Why Do We Digitize? The Case for Slow Digitization&query.author=Prescott, Andrew; Hughes, Lorna&query.bibliographic=2018&query.container-title=Archive Journal",10.1111/ejed.12278,31.413272999999997,1598888273.9047492
LG7P4VTT,,Type not supported,,1598888273.9149086
R54CKARR,,Type not supported,,1598888273.9232745
N7FXCWFM,,Type not supported,,1598888273.9300013
C5UIFGHC,,Type not supported,,1598888273.9366596
WM8TKC6M,,Type not supported,,1598888273.9433267
BLYZBB39,,Type not supported,,1598888273.95005
ZM3988XD,,Type not supported,,1598888273.9568064
JWX8IVF3,,Type not supported,,1598888273.9641485
XZTP33LR,,Type not supported,,1598888273.9722786
YK4UCTN9,,Type not supported,,1598888273.979584
HSCJJB8M,,Type not supported,,1598888273.9875445
WSADMXZI,,Type not supported,,1598888273.9974232
34TTHE2K,,Type not supported,,1598888274.0064876
R5IKMM7H,,Type not supported,,1598888274.015459
YF2F5UKS,,Type not supported,,1598888274.0235324
358BF82J,,Type not supported,,1598888274.031505
QXMSNWPF,,Type not supported,,1598888274.0399046
N7FZMWY6,,Type not supported,,1598888274.0478954
SXKIMTK9,,Type not supported,,1598888274.0541587
RFZ5BSK4,,Type not supported,,1598888274.0599387
2S2G55ZJ,,Type not supported,,1598888274.065384
U96D6K3U,/10.5334/dsj-2019-045,10.5334/dsj-2019-045,,1598888275.0202892
PDVAFS8L,,Type not supported,,1598888275.0311706
46VYFDQ6,,Type not supported,,1598888275.0385602
AU6W44G7,"?query.bibliographic=Whiteness, Epistemology and Indigenous representation&query.author=Moreton-Robinson, Aileen&query.bibliographic=2004&query.container-title=Whitening Race Essays in social and cultural criticism",10.2307/j.ctvcwp0hd.19,62.044290000000004,1598888275.9369655
XRJWCKWA,,Type not supported,,1598888275.9458425
4L9MWLGK,,Type not supported,,1598888275.9541097
5EGE9L4P,,Type not supported,,1598888275.9598734
CJAMT8UR,,Type not supported,,1598888275.965516
6JF26UDS,,Type not supported,,1598888275.9710634
RX6PRZQI,,Type not supported,,1598888275.97661
N4J4RD2J,,Type not supported,,1598888275.9829323
PQ7QW4GN,,Type not supported,,1598888275.9893816
2DAYSDA5,"?query.bibliographic=International Cultural Heritage Law&query.author=Blake, Janet&query.bibliographic=2015",10.1093/acprof:oso/9780198723516.003.0001,56.483017000000004,1598888276.93292
TKL3QEIM,,Type not supported,,1598888276.9428515
P6C3N77W,,Type not supported,,1598888276.9505842
H8P3BGAS,,Type not supported,,1598888276.9560866
T9LLRRCX,/10.1093/jiel/5.4.861,10.1093/jiel/5.4.861,,1598888277.7295742
NWG8MXU7,/10.1179/0093469013Z.00000000062,10.1179/0093469013Z.00000000062,,1598888278.5426238
6YXY4ZNI,"?query.bibliographic=Culture is Digital: Cultural Participation, Diversity and the Digital Divide&query.author=Leguina, Adrian; Mihelj, Sabina&query.container-title=New Media &amp; Society",10.1177/1461444818822816,106.00983400000001,1598888279.8502998
BJTPTNFQ,"?query.bibliographic=Human Rights and Intellectual Property: Conflict or Coexistence?&query.author=Helfer, Laurence&query.bibliographic=2003&query.container-title=Minn. Intell. Prop. Rev.",Not found,,1598888280.6769242
74V66JU5,"?query.bibliographic=Stepping Beyond Libraries: The Changing Orientation in Global GLAM-Wiki&query.author=Stinson, Alexander D.; Fauconnier, Sandra; Wyatt, Liam&query.bibliographic=2018&query.container-title=JLIS.it",10.1016/b978-012370488-7/50005-1,20.220392,1598888284.1022847
PVULHDC2,,Type not supported,,1598888284.109402
2PRX3FHZ,"?query.bibliographic=Special Issue on Digital Technology and Indigenous Communities&query.author=Wilson, Bonita&query.container-title=D-Lib Magazine",10.1045/april98-spink,35.532703000000005,1598888285.4827693
T6SNUDIX,"?query.bibliographic=Indigenous Cultural and Intellectual Property Rights: A Digital Library Context&query.author=Sullivan, Robert&query.bibliographic=2002&query.container-title=D-Lib Magazine",10.1045/may2002-sullivan,99583.0,1598888286.3984716
9R2J4RM8,,Type not supported,,1598888286.4080205
C8IPCR9J,,Type not supported,,1598888286.4161675
4P7UP57I,,Type not supported,,1598888286.4218025
P94733F5,,Type not supported,,1598888286.4283607
ZHRTWH24,,Type not supported,,1598888286.4340606
8DQQF7U6,,Type not supported,,1598888286.4397194
BDZNP724,,Type not supported,,1598888286.4454293
FF2FK52I,,Type not supported,,1598888286.4510329
N6FTWLAV,"?query.bibliographic=How to Link Your Institution’s Collections to Wikidata? : a short manual to a semi-automatic way of using the “archives at” property (P485)&query.author=Bolliger, Stephanie; Brüderlin, Brigitte; Gasser, Michael; Lyskawa, Julia; Maier, Petra; Schmitt, Lothar&query.bibliographic=2020",10.1007/978-94-009-0103-2_7,28.425026000000003,1598888288.8079126
W8DFGNM5,/10.3998/crmstoolkit.14616082.0001.001,10.3998/crmstoolkit.14616082.0001.001,,1598888289.5505786
NA4Q5W7Y,,Type not supported,,1598888289.5613296
B6H8MQC2,,Type not supported,,1598888289.5671105
7L735SG8,,Type not supported,,1598888289.5730796
HN4FIJXY,/10.17763/haer.79.3.n0016675661t3n15,10.17763/haer.79.3.n0016675661t3n15,,1598888290.3497524
XM7UW7VY,,Type not supported,,1598888290.3622108
45NCMXP2,,Type not supported,,1598888290.3706114
7V3LKJRI,,Type not supported,,1598888290.376382
LQMC98PP,/10.1111/j.1467-873X.2011.00552.x,10.1111/j.1467-873X.2011.00552.x,,1598888291.220193
7JUEZ5YN,"?query.bibliographic=On Being Included: Racism and Diversity in Institutional Life&query.author=Ahmed, Sara&query.bibliographic=2012",10.1215/9780822395324,75.62557,1598888292.2466028
QAGNAUYM,,Type not supported,,1598888292.2567186
NKBJH8PR,,Type not supported,,1598888292.264957
JGN8QNK5,,Type not supported,,1598888292.2706757
SG2SPQ3N,,Type not supported,,1598888292.276403
GHK6V6CY,,Type not supported,,1598888292.282193
AE9DBI2W,/10.1111/j.2151-6952.2009.00006.x,10.1111/j.2151-6952.2009.00006.x,,1598888293.0670164
RD8BPYEU,?query.bibliographic=Writing History in the Digital Age&query.bibliographic=2013,10.1353/book.27633,35.349003,1598888294.2868347
Y7MB6NKT,,Type not supported,,1598888294.2977052
GVDH3IT6,"?query.bibliographic=Computation and the Humanities: Towards an Oral History of Digital Humanities&query.author=Nyhan, Julianne; Flinn, Andrew&query.bibliographic=2016",10.1007/978-3-319-20170-2_1,71.88965999999999,1598888302.4106705
MBPFBMLJ,,Type not supported,,1598888302.4208198
PMCCZTG5,"?query.bibliographic=Feminism Confronts Technology&query.author=Wajcman, Judy&query.bibliographic=1991",10.2307/591252,50.61248,1598888303.7134936
2M3GDNWE,"?query.bibliographic=The Differences between Digital Humanities and Digital History&query.author=Robertson, Stephen&query.bibliographic=2016&query.container-title=Debates in the Digital Humanities",10.5749/j.ctt1cn6thb.28,87.92878,1598888306.6703615
884DV8UK,"?query.bibliographic=Why Are the Digital Humanities So White? or Thinking the Histories of Race and Computation&query.author=McPherson, Tara&query.bibliographic=2012&query.container-title=Debates in the Digital Humanities",10.5749/minnesota/9780816677948.003.0017,121.854256,1598888308.1260636
WQG4ZXNK,"?query.bibliographic=How ""accessible"" is open data? Analysis of content-related information and users' comments in open datasets&query.author=Gebre, Engida H; Morales, Esteban&query.bibliographic=2020&query.container-title=Information and Learning Sciences",10.1108/ils-08-2019-0086,132.75153,1598888311.5080392
CCVZR7XJ,,Type not supported,,1598888311.5178769
WU64N8E2,,Type not supported,,1598888311.5275679
S84G9XNA,,Type not supported,,1598888311.5356085
GFJA8EI6,,Type not supported,,1598888311.5483825
BW9J28RU,,Type not supported,,1598888311.5568922
CE8L9XAW,,Type not supported,,1598888311.5658407
Z9VYV3M3,,Type not supported,,1598888311.573681
QJ2V8AME,"?query.bibliographic=Managing intellectual property for museums: guide&query.author=Elster Pantalony, Rina&query.bibliographic=2013",10.1111/j.1747-1796.1999.tb00058.x,58.10834499999999,1598888312.6535766
7G2BFYJU,,Type not supported,,1598888312.665321
ZM7E97KU,,Type not supported,,1598888312.6733036
4B5KD5MC,"?query.bibliographic=Indigenous Notions of Ownership and Libraries, Archives and Museums&query.bibliographic=2016",10.1515/9783110363234-004,61.75914,1598888313.8101366
3VW67ERV,,Type not supported,,1598888313.8220985
7WWIRY9X,,Type not supported,,1598888313.8285182
4YT2KDMN,,Type not supported,,1598888313.8347216
LSCLCZFB,,Type not supported,,1598888313.8408644
J8X89A5S,,Type not supported,,1598888313.8469975
DCWB84FA,,Type not supported,,1598888313.8531706
YLJFLNC6,,Type not supported,,1598888313.859309
8TACL6M9,"?query.bibliographic=Copyright Protections and Disability Rights: Turning the Page to a New International Paradigm&query.author=Harpur, Paul; Suzor, Nicolas&query.bibliographic=2013&query.container-title=University of New South Wales Law Journal",10.4324/9780429342677-9,49.955490000000005,1598888316.107885
DX6ILRFK,"?query.bibliographic=The Routledge International Handbook of New Digital Practices in Galleries, Libraries, Archives, Museums and Heritage Sites",10.4324/9780429506765-11,84.80664,1598888317.548699
P36NVPDN,?query.bibliographic=Wikidata Use in Cultural Institutions&query.author=Wikimedia Deutschland&query.bibliographic=2019,10.1002/citp.201900723,21.663505999999998,1598888318.6001248
2A64IVUU,,Type not supported,,1598888318.611141
WZCD268G,,Type not supported,,1598888318.618743
JG3GLDJR,,Type not supported,,1598888318.6246214
8DYKJ6QE,,Type not supported,,1598888318.6305053
ETYFM2ID,"?query.bibliographic=“Open Access” and the Fate of Knowledge from Africa: A Theoretical Discussion&query.author=Masaka, Dennis&query.bibliographic=2018&query.container-title=The Journal of Negro Education",10.7709/jnegroeducation.87.4.0359,82.33915,1598888319.8811738
WDRQEET2,"?query.bibliographic=Navigating good practice image permissions for Māori collections held at Auckland War Memorial Museum - Tāmaki Paenga Hira&query.author=O’Donovan, Michaela; Richardson, Zoe",10.1163/9789401206976_007,30.782716999999998,1598888321.0599153
VWTMAUEV,,Type not supported,,1598888321.0708232
82IIZUPL,,Type not supported,,1598888321.0827894
KZI7LW2N,,Type not supported,,1598888321.0953045
P6HFUCIB,,Type not supported,,1598888321.1072485
XD9YNPTX,/10.6017/ital.v38i4.11101,10.6017/ital.v38i4.11101,,1598888321.9200218
UYMIIZYJ,,Type not supported,,1598888321.9323142
A2HHB2AA,/10.29173/cais1060,10.29173/cais1060,,1598888322.7741818
8J6987BQ,,Type not supported,,1598888322.786753
CF55HEAF,,Type not supported,,1598888322.797542
V4GB79KI,"?query.bibliographic=Kooperativ in die digitale Zeit - wie öffentliche Kulturinstitutionen Cultural Commons fördern&query.author=Hahn, Helene&query.bibliographic=2016",10.1007/s35114-012-0122-2,36.566982,1598888323.976317
QGFNIB7D,,Type not supported,,1598888323.9897993
KM8N4ACK,"?query.bibliographic=More Than Meets the Eye: What Blindness Brings to Art&query.author=Kleege, Georgina&query.bibliographic=2018",10.1093/oso/9780190604356.001.0001,75.13193000000001,1598888324.883136
BCG27954,"?query.bibliographic=Sight Unseen&query.author=Kleege, Georgina&query.bibliographic=1999",10.7748/paed.11.5.39.s24,19.002682,1598888326.2486775
2VDF3N6F,"?query.bibliographic=The Law and Accessible Texts: Reconciling Civil Rights and Copyrights&query.author=Butler, Brandon; Adler, Prue; Cox, Krista&query.bibliographic=2019",10.5848/csp.1786.00011,37.176212,1598888327.4692302
4QCBV5UH,"?query.bibliographic=International Heritage Law for Communities: Exclusion and Re-Imagination&query.author=Lixinski, Lucas&query.bibliographic=2019",10.1093/oso/9780198843306.001.0001,92.65796,1598888330.0925078
4DEKRYMH,"?query.bibliographic=Weaponizing Iraq’s Archives&query.author=Alshaibi, Wisam&query.container-title=MERIP",Not found,,1598888331.0066724
GEB5RT9C,"?query.bibliographic=New Digital Worlds: Postcolonial Digital Humanities in Theory, Praxis, and Pedagogy&query.author=Risam, Roopika&query.bibliographic=2018",10.2307/j.ctv7tq4hg,120.09877,1598888331.9548972
4EBLDL84,"?query.bibliographic=Reproduction charging models & rights policy for digital images in American art museums: A Mellon Foundation funded study&query.author=Tanner, Simon&query.bibliographic=2004",10.1045/may2003-tanner,38.010985999999995,1598888333.8624935
NJBPAHKQ,"?query.bibliographic=3D Printing: Cultural Property as Intellectual Property&query.author=Cronin, Charles&query.bibliographic=2015&query.container-title=Columbia Journal of Law & the Arts",10.2139/ssrn.2595018,74.108765,1598888335.3970027
H7P3PTH3,"?query.bibliographic=Art Image Copyright and Licensing: Compilation and Summary of Museum Policies&query.author=Brown, Melissa A.; Crews, Kenneth D.",10.2139/ssrn.1542070,66.74071500000001,1598888337.423955
FM8FXJ5L,"?query.bibliographic=Art Image Copyright and Licensing: Terms and Conditions Governing Reproduction and Distribution&query.author=Brown, Melissa A.; Crews, Kenneth D.",10.2139/ssrn.1542070,59.09779,1598888339.0383904
9C4R58T7,,Type not supported,,1598888339.0511842
4U8G6X3X,,Type not supported,,1598888339.060118
L7JDEG7T,?query.bibliographic=Progress Report (2013-2015) on the Implementation of Commission Recommendation 2011/711/EU on the digitisation and online accessibility of cultural material and digital preservation&query.bibliographic=2016,10.1163/2210-7975_hrd-0153-2016026,34.895953999999996,1598888341.0017312
CJFB2WJT,?query.bibliographic=Progress Report (2011-2013) on the Implementation of Commission Recommendation 2011/711/EU on the digitisation and online accessibility of cultural material and digital preservation&query.bibliographic=2014,10.1080/09548963.2011.589712,37.506190000000004,1598888342.8352141
L5JXWRP9,"?query.bibliographic=Réponse au Rapport Sarr-Savoy: Déclaration sur la numérisation, les droits de propriété intellectuelle et le libre accès du patrimoine culturel africain et des archives connexes&query.author=Pavis, Mathilde; Wallace, Andrea&query.bibliographic=2019&query.container-title=JIPITEC",Not found,,1598888344.0583756
PCTEFHUD,"?query.bibliographic=Response to the 2018 Sarr-Savoy Report: Statement on Intellectual Property Rights and Open Access relevant to the digitization and restitution of African Cultural Heritage and associated materials&query.author=Pavis, Mathilde; Wallace, Andrea&query.bibliographic=2019&query.container-title=JIPITEC",Not found,,1598888345.0714695
84F43PS9,?query.bibliographic=Decolonising the Digital&query.bibliographic=2018,10.1007/978-3-030-28307-0_5,21.611525,1598888346.230282
JVVRA9MQ,"?query.bibliographic=The distributed museum is already here: it's just not very evenly distributed&query.author=Rodley, Ed&query.bibliographic=2020&query.container-title=The Routledge International Handbook of New Digital Practices in Galleries, Libraries, Archives, Museums and Heritage Sites",10.4324/9780429506765-8,105.939476,1598888347.6423488
ZNUVWRLI,"?query.bibliographic=Internet Architecture and Disability&query.author=Reid, Blake E.&query.bibliographic=2020&query.container-title=Indiana Law Journal",10.2139/ssrn.3338589,44.862503000000004,1598888358.231347
RBRYZJI5,,Type not supported,,1598888358.2417324
AZVJ833Z,,Type not supported,,1598888358.250214
AI6ZXPZM,"?query.bibliographic=Digitisation, digital interaction and social media: embedded barriers to democratic heritage&query.author=Taylor, Joel; Gibson, Laura Kate&query.bibliographic=2017&query.container-title=International Journal of Heritage Studies",10.1080/13527258.2016.1171245,117.89159,1598888361.184942
F2VWXCU5,/10.1177/0964663909345095,10.1177/0964663909345095,,1598888361.9976337
K699FMQQ,"?query.bibliographic=Beyond IP: The Cost of Free-Informational Capital in a Post-IP Era&query.author=Pessach, Guy&query.bibliographic=2016&query.container-title=Osgoode Hall Law Journal",10.2139/ssrn.2761403,96.65616999999999,1598888363.1073484
SWBJAB63,"?query.bibliographic=The Digital Future of Museums: Conversations and Provocations&query.author=Winesmith, Keir; Anderson, Suse&query.bibliographic=2020",10.4324/9780429491573,110.3238,1598888364.3233814
3NVD3CJG,,Type not supported,,1598888364.3350255
QHEWTBNN,,Type not supported,,1598888364.3444724
W9RBH4YI,,Type not supported,,1598888364.3543887
MFR7WFDP,,Type not supported,,1598888364.3621702
ES5SQVDR,"?query.bibliographic=The Restitution of African Cultural Heritage. Toward a New Relational Ethics&query.author=Sarr, Felwine; Savoy, Bénédicte&query.bibliographic=2018",10.7202/1062273ar,40.667225,1598888365.205285
EDASQA7M,,Type not supported,,1598888365.2159119
AC9FX29Z,/10.5334/kula.36,10.5334/kula.36,,1598888366.1729374
ET6XM6NV,,Type not supported,,1598888366.1823
G63RVFAD,"?query.bibliographic=Speaking of Us, About Us and for Us: Telling Stories About Aboriginal Peoples from the Archives&query.author=Bowrey, Kathy&query.bibliographic=2016&query.container-title=Law and History",10.5235/17577632.6.2.206,35.022648,1598888367.2435868
PEFK62Y2,,Type not supported,,1598888367.2547467
8BDKEQ73,"?query.bibliographic=Honouring the truth, reconciling for the future: summary of the final report of the Truth and Reconcilliation Commission of Canada.&query.author=Truth and Reconcilliation Commission of Canada&query.bibliographic=2015",10.2307/j.ctt19rmbqj,95.862335,1598888368.1946814
YGHRW68B,,Type not supported,,1598888368.2052734
LUDLT85Z,,Type not supported,,1598888368.2150822
5GEZHVLQ,,Type not supported,,1598888368.2214675
NG7V4AXD,,Type not supported,,1598888368.2276206
PIMMT4FX,,Type not supported,,1598888368.233834
KTCVEXQU,"?query.bibliographic=The Open Education policy registry: An open benchlearning tool&query.author=Havemann, Leo; Atenas, Javiera; Neumann, Jan&query.bibliographic=2020",10.3402/rlt.v22.20889,65.27654,1598888370.215987
7HBXBJ5E,"?query.bibliographic=Rights and Reproductions: The Handbook for Cultural Institutions, Second Edition&query.bibliographic=2019",10.4337/9780857930576.00061,36.191803,1598888371.5838454
WXVCYAHX,"?query.bibliographic=Image rights, art history and society: A report on the systems regulating the circulation of images of works of art and their impact on scholarship, teaching and the visibility of French public collections&query.author=Denoyelle, Martine; Durand, Katie; Daniel, Johanna; Douikaridou-Ramamantani, Elli&query.bibliographic=2018",10.1086/680739,42.305847,1598888374.7457685
X94SN2L2,"?query.bibliographic=Inspiring Research, Inspiring Scholarship: The value and benefits of digitised resources for learning, teaching, research and enjoyment&query.author=Tanner, Simon; Deegan, Marilyn&query.bibliographic=2011",10.29085/9781856049085.009,56.57949,1598888376.0189214
Q7PEFNZU,"?query.bibliographic=Delivering Impact with Digital Resources: Planning strategy in the attention economy&query.author=Tanner, Simon&query.bibliographic=2020",10.29085/9781783302529,83.04656,1598888377.5115561
A4LSRVGV,/10.17723/0360-9081.80.1.53,10.17723/0360-9081.80.1.53,,1598888378.3404849
2SQBLH53,,Type not supported,,1598888378.3503942
BCE29462,,Type not supported,,1598888378.3591492
